model,language,sample_size,distribution,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper
Llama3-8B-Arabic,english,300,0.25,0.7112333333333334,0.023770453181301453,0.7079105022561651,0.7145561644105016,0.4571709305747244,0.02595782738793502,0.4535423301907717,0.4607995309586771,0.8152000000000001,0.04657209464904923,0.8086897663814668,0.8217102336185335,0.585443360871438,0.02986573097347023,0.5812684813155422,0.5896182404273338
Llama3-8B-Arabic,english,300,0.3,0.7146666666666667,0.02106603374576662,0.7117218817663026,0.7176114515670308,0.5159002786603558,0.022679411199210606,0.5127299624795985,0.5190705948411132,0.8165555555555557,0.04071869774046086,0.8108635582998931,0.8222475528112183,0.631947241095617,0.02502845938528481,0.6284485554784455,0.6354459267127884
Llama3-8B-Arabic,english,300,0.35000000000000003,0.7249333333333334,0.022057903597375507,0.7218498966394047,0.7280167700272622,0.576173023865471,0.024011742934194082,0.5728164633055959,0.5795295844253461,0.8150952380952383,0.03359458843150317,0.8103991079199547,0.8197913682705219,0.6747924362702193,0.023730682435085606,0.6714751646777811,0.6781097078626576
Llama3-8B-Arabic,english,300,0.4,0.73225,0.022057846928272742,0.7291665712277483,0.7353334287722516,0.6280970910413101,0.024257831241604355,0.6247061302169825,0.6314880518656376,0.8136666666666668,0.029639500670557862,0.8095234114586697,0.8178099218746638,0.7086255177247106,0.02208404021241236,0.7055384274379776,0.7117126080114436
Llama3-8B-Arabic,english,300,0.45,0.7364166666666666,0.022315758009880723,0.7332971849445374,0.7395361483887958,0.6714628651680683,0.023302501147641534,0.6682054483069526,0.674720282029184,0.8130000000000002,0.030734024255108214,0.8087037432083269,0.8172962567916734,0.7351587064802818,0.021673109591196754,0.7321290594836839,0.7381883534768797
Llama3-8B-Arabic,english,300,0.5,0.7468166666666667,0.022448205817936648,0.7436786702915203,0.749954663041813,0.717596166773677,0.02286059170364383,0.7144005236794563,0.7207918098678977,0.8152000000000001,0.029778142617997144,0.8110373642708141,0.8193626357291862,0.7629768351149054,0.020962875488119957,0.7600464705313001,0.7659071996985107
Llama3-8B-Arabic,english,300,0.55,0.74795,0.024717689347240102,0.744494756396003,0.751405243603997,0.7504035026636608,0.023529062582279554,0.7471144151663078,0.7536925901610139,0.8126363636363636,0.029929684967279352,0.8084525440608343,0.8168201832118929,0.7799847960276796,0.021868385919882806,0.7769278516864057,0.7830417403689535
Llama3-8B-Arabic,english,300,0.6000000000000001,0.7578666666666666,0.02507331472125517,0.754361710798642,0.7613716225346912,0.7889275391590174,0.02393294652899313,0.7855819934141302,0.7922730849039046,0.8151666666666668,0.026670775146470347,0.8114384045324569,0.8188949288008768,0.8015580180178752,0.02049836914395686,0.7986925859832691,0.8044234500524813
Llama3-8B-Arabic,english,300,0.6500000000000001,0.76875,0.023224597831705173,0.7655034731104484,0.7719965268895517,0.8236467134332969,0.019417599666094486,0.8209323603192694,0.8263610665473243,0.8201282051282053,0.02538817638840433,0.8165792352851574,0.8236771749712531,0.8216774420715097,0.018483673900872324,0.8190936408461138,0.8242612432969056
Llama3-8B-Arabic,english,300,0.7000000000000001,0.7728,0.02278752095141354,0.7696145713415115,0.7759854286584886,0.8531164228443912,0.019079973871745984,0.8504492658638727,0.8557835798249096,0.8163095238095238,0.024644582410275707,0.8128644996994612,0.8197545479195865,0.8340742825364518,0.017342285262331412,0.8316500340806369,0.8364985309922667
Llama3-8B-Arabic,english,300,0.7500000000000001,0.7816833333333334,0.02100263872310652,0.77874741031498,0.7846192563516868,0.8849392989178696,0.017823109667242428,0.8824478368391964,0.8874307609965428,0.8152444444444444,0.02272545752571522,0.8120676915263001,0.8184211973625888,0.8484292327880832,0.015268858376051601,0.8462948251376335,0.8505636404385329
Llama3-8B-Arabic,english,300,0.8,0.7888666666666666,0.0230541391800547,0.7856439679010786,0.7920893654322546,0.9106272439547084,0.016086477663419644,0.9083785426996465,0.9128759452097703,0.8163958333333333,0.023544717722641932,0.8131045574306303,0.8196871092360364,0.8607381821940777,0.016163377765562724,0.8584787312049956,0.8629976331831598
Llama3-8B-Arabic,english,300,0.8500000000000001,0.79435,0.02044558496214878,0.7914919465760731,0.7972080534239269,0.9346133699249012,0.012913476013050042,0.9328082171546468,0.9364185226951556,0.8152352941176472,0.021365091341430806,0.8122487044664373,0.8182218837688571,0.8706744794618095,0.013829781863923337,0.8687412378606755,0.8726077210629436
Llama3-8B-Arabic,english,300,0.9000000000000001,0.8004833333333332,0.020820389312188933,0.7975728866490561,0.8033937800176103,0.9576473851922852,0.009419282420631852,0.9563306797801847,0.9589640906043857,0.8143888888888889,0.021574439672629474,0.8113730347917909,0.817404742985987,0.8800649230436954,0.013709028663989433,0.8781485613262702,0.8819812847611207
Llama3-8B-Arabic,english,300,0.9500000000000001,0.8058833333333333,0.017851167095365685,0.803387949154673,0.8083787175119935,0.978703436075001,0.007119135804831899,0.9777082642322746,0.9796986079177273,0.8134035087719298,0.01785258192644535,0.8109079268164479,0.8158990907274117,0.8883157062136939,0.011221654905707038,0.8867470502283182,0.8898843621990696
Llama3-8B-Arabic,english,500,0.05,0.6823699999999999,0.015144738360235846,0.6802529428747046,0.6844870571252952,0.1170730655112261,0.00974966261272503,0.1157101768159886,0.11843595420646359,0.8172,0.06841169490664589,0.8076368459387905,0.8267631540612096,0.20476185545256714,0.016803015763772088,0.2024129905594935,0.2071107203456408
Llama3-8B-Arabic,english,500,0.1,0.6872999999999999,0.016769913535853397,0.6849557624108659,0.689644237589134,0.21614012669905336,0.01531639309063721,0.2139990742519873,0.21828117914611941,0.8084,0.05619110249852728,0.8005451416925728,0.8162548583074272,0.3409778170389571,0.023292579940727153,0.33772178704642175,0.3442338470314924
Llama3-8B-Arabic,english,500,0.15000000000000002,0.69668,0.015980538163653916,0.6944461078467854,0.6989138921532145,0.30856726596701217,0.015748367559389242,0.306365828546283,0.3107687033877413,0.8221333333333334,0.04410976208404565,0.8159673049811832,0.8282993616854836,0.4485540288235718,0.021539201710726628,0.4455431005810216,0.45156495706612204
Llama3-8B-Arabic,english,500,0.2,0.7015100000000001,0.017102628452960074,0.6991192527605044,0.7039007472394958,0.38436893682275897,0.017673802133411576,0.38189834618939156,0.3868395274561264,0.81565,0.0381126947354815,0.8103222914562982,0.8209777085437018,0.5223175273204356,0.021992223560915843,0.5192432719266963,0.5253917827141749
